s	cc	g	d	igcell	fee	db	pmt
0	4	3	2	173	1	2	16
0	4	3	3	174	1	1	9
0	4	3	4	175	1	1	10
0	4	3	5	176	1	1	12
0	4	3	6	177	1	1	13
0	4	3	7	178	1	1	15
0	4	3	8	179	1	1	16
0	5	0	0	180	22	1	16
0	5	0	1	181	22	1	15
0	5	0	2	182	22	1	13
0	5	0	3	183	22	1	12
0	5	0	4	184	22	1	10
0	5	0	5	185	22	1	9
0	5	0	6	186	22	2	16
0	5	0	7	187	22	2	15
0	5	0	8	188	22	2	13
0	5	1	0	189	22	1	4
0	5	1	1	190	22	1	2
0	5	1	2	191	22	1	1
0	5	1	3	192	22	1	8
0	5	1	4	193	22	1	7
0	5	1	5	194	22	1	5
0	5	1	6	195	22	2	4
0	5	1	7	196	22	2	2
0	5	1	8	197	22	2	1
0	5	2	0	198	22	2	9
0	5	2	1	199	22	2	10
0	5	2	2	200	22	2	12
0	5	2	3	201	22	3	13
0	5	2	4	202	22	3	15
0	5	2	5	203	22	3	16
0	5	2	6	204	22	3	9
0	5	2	7	205	22	3	10
0	5	2	8	206	22	3	12
0	5	3	0	207	22	2	5
0	5	3	1	208	22	2	7
0	5	3	2	209	22	2	8
0	5	3	3	210	22	3	1
0	5	3	4	211	22	3	2
0	5	3	5	212	22	3	4
0	5	3	6	213	22	3	5
0	5	3	7	214	22	3	7
0	5	3	8	215	22	3	8
0	6	0	0	216	17	3	8
0	6	0	1	217	17	3	7
0	6	0	2	218	17	3	5
0	6	0	3	219	17	3	4
0	6	0	4	220	17	3	2
0	6	0	5	221	17	3	1
0	6	0	6	222	17	2	8
0	6	0	7	223	17	2	7
0	6	0	8	224	17	2	5
0	6	1	0	225	17	3	12
0	6	1	1	226	17	3	10
0	6	1	2	227	17	3	9
0	6	1	3	228	17	3	16
0	6	1	4	229	17	3	15
0	6	1	5	230	17	3	13
0	6	1	6	231	17	2	12
0	6	1	7	232	17	2	10
0	6	1	8	233	17	2	9
0	6	2	0	234	17	2	1
0	6	2	1	235	17	2	2
0	6	2	2	236	17	2	4
0	6	2	3	237	17	1	5
0	6	2	4	238	17	1	7
0	6	2	5	239	17	1	8
0	6	2	6	240	17	1	1
0	6	2	7	241	17	1	2
0	6	2	8	242	17	1	4
0	6	3	0	243	17	2	13
0	6	3	1	244	17	2	15
0	6	3	2	245	17	2	16
0	6	3	3	246	17	1	9
0	6	3	4	247	17	1	10
0	6	3	5	248	17	1	12
0	6	3	6	249	17	1	13
0	6	3	7	250	17	1	15
0	6	3	8	251	17	1	16
0	7	0	0	252	12	1	16
0	7	0	1	253	12	1	15
0	7	0	2	254	12	1	13
0	7	0	3	255	12	1	12
0	7	0	4	256	12	1	10
0	7	0	5	257	12	1	9
0	7	0	6	258	12	2	16
0	7	0	7	259	12	2	15
