s	cc	g	d	igcell	fee	db	pmt
0	23	3	1	856	10	2	7
0	23	3	2	857	10	2	8
0	23	3	3	858	10	3	1
0	23	3	4	859	10	3	2
0	23	3	5	860	10	3	4
0	23	3	6	861	10	3	5
0	23	3	7	862	10	3	7
0	23	3	8	863	10	3	8
0	24	0	0	864	5	2	8
0	24	0	1	865	5	2	7
0	24	0	2	866	5	2	5
0	24	0	3	867	5	2	4
0	24	0	4	868	5	2	2
0	24	0	5	869	5	2	1
0	24	0	6	870	5	3	8
0	24	0	7	871	5	3	7
0	24	0	8	872	5	3	5
0	24	1	0	873	5	2	12
0	24	1	1	874	5	2	10
0	24	1	2	875	5	2	9
0	24	1	3	876	5	2	16
0	24	1	4	877	5	2	15
0	24	1	5	878	5	2	13
0	24	1	6	879	5	3	12
0	24	1	7	880	5	3	10
0	24	1	8	881	5	3	9
0	24	2	0	882	5	3	1
0	24	2	1	883	5	3	2
0	24	2	2	884	5	3	4
0	24	2	3	885	5	1	5
0	24	2	4	886	5	1	7
0	24	2	5	887	5	1	8
0	24	2	6	888	5	1	1
0	24	2	7	889	5	1	2
0	24	2	8	890	5	1	4
0	24	3	0	891	5	3	13
0	24	3	1	892	5	3	15
0	24	3	2	893	5	3	16
0	24	3	3	894	5	1	9
0	24	3	4	895	5	1	10
0	24	3	5	896	5	1	12
0	24	3	6	897	5	1	13
0	24	3	7	898	5	1	15
0	24	3	8	899	5	1	16
